PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
201143,Al Horford,1610612738,BOS,38.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,56,481,337,120,11.3,0.046,0.162,0.133,0.557,0.103
202692,Alec Burks,1610612748,MIA,33.0,6-5,77,214,Colorado,USA,2011,1,12,41,267,103,45,3.6,0.019,0.119,0.148,0.602,0.093
1627936,Alex Caruso,1610612760,OKC,31.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,48,332,133,123,14.9,0.033,0.101,0.144,0.568,0.175
1642505,Alex Ducas,1610612760,OKC,24.0,6-7,79,220,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,19,29,19,3,-14.4,0.052,0.12,0.123,0.58,0.048
203458,Alex Len,1610612747,LAL,31.0,7-0,84,250,Maryland,Ukraine,2013,1,5,45,70,93,37,-16.3,0.096,0.146,0.096,0.526,0.143
1642024,Alex Reese,1610612755,PHI,25.0,6-9,81,245,Alabama,USA,Undrafted,Undrafted,Undrafted,11,57,33,3,10.0,0.043,0.146,0.122,0.655,0.022
1642259,Alex Sarr,1610612764,WAS,19.0,7-0,84,205,None,France,2024,1,2,58,759,387,132,-14.3,0.065,0.158,0.224,0.492,0.133
1631214,Alondes Williams,1610612765,DET,25.0,6-4,76,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,5,0,1,85.7,0.0,0.0,0.286,1.25,0.333
1630578,Alperen Sengun,1610612745,HOU,22.0,6-11,83,243,None,Turkey,2021,1,16,70,1342,735,342,6.9,0.1,0.213,0.26,0.546,0.239
1641708,Amen Thompson,1610612745,HOU,22.0,6-7,79,200,None,USA,2023,1,4,63,884,525,229,5.3,0.078,0.163,0.172,0.599,0.158
1629599,Amir Coffey,1610612746,LAC,27.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,70,695,159,77,-0.8,0.019,0.071,0.15,0.614,0.065
203083,Andre Drummond,1610612755,PHI,31.0,6-11,83,279,Connecticut,USA,2012,1,9,40,293,310,34,-15.5,0.134,0.288,0.183,0.535,0.07
1641748,Andre Jackson Jr.,1610612749,MIL,23.0,6-6,78,209,Connecticut,USA,2023,2,36,61,214,172,77,-1.1,0.066,0.116,0.115,0.552,0.108
1629614,Andrew Nembhard,1610612754,IND,25.0,6-4,76,191,Gonzaga,Canada,2022,2,31,57,584,184,291,6.1,0.019,0.089,0.162,0.56,0.226
203952,Andrew Wiggins,1610612748,MIA,30.0,6-7,79,197,Kansas,Canada,2014,1,1,58,1054,258,150,-2.6,0.043,0.094,0.238,0.569,0.135
1629014,Anfernee Simons,1610612757,POR,25.0,6-3,75,200,None,USA,2018,1,24,69,1333,186,333,-4.3,0.01,0.069,0.24,0.561,0.241
1641710,Anthony Black,1610612753,ORL,21.0,6-7,79,200,Arkansas,USA,2023,1,6,70,655,198,216,-2.4,0.026,0.097,0.188,0.528,0.206
203076,Anthony Davis,1610612742,DAL,32.0,6-10,82,253,Kentucky,USA,2012,1,1,45,1134,528,153,0.9,0.086,0.254,0.298,0.596,0.173
1630162,Anthony Edwards,1610612750,MIN,23.0,6-4,76,225,Georgia,USA,2020,1,1,71,1932,405,325,3.8,0.022,0.133,0.309,0.588,0.214
1630264,Anthony Gill,1610612764,WAS,32.0,6-8,80,230,Virginia,USA,Undrafted,Undrafted,Undrafted,47,109,47,14,-4.0,0.03,0.111,0.124,0.631,0.061
1641817,Anton Watson,1610612752,NYK,24.0,6-8,80,225,Gonzaga,USA,2024,2,54,7,8,2,2,-26.2,0.067,0.083,0.222,0.5,0.154
1641810,Antonio Reeves,1610612740,NOP,22.0,6-5,77,205,Kentucky,USA,2024,2,47,36,173,40,25,-9.9,0.033,0.068,0.176,0.578,0.093
1630574,Ariel Hukporti,1610612752,NYK,22.0,6-11,83,246,None,Germany,2024,2,58,25,48,51,11,-12.4,0.066,0.151,0.113,0.654,0.075
1642422,Armel Traoré,1610612747,LAL,22.0,6-9,81,245,None,France,Undrafted,Undrafted,Undrafted,9,14,15,1,-37.3,0.026,0.228,0.153,0.317,0.026
1641709,Ausar Thompson,1610612765,DET,22.0,6-6,78,205,None,USA,2023,1,5,52,505,258,114,4.6,0.086,0.137,0.185,0.577,0.14
1630559,Austin Reaves,1610612747,LAL,26.0,6-5,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,65,1293,287,382,3.1,0.024,0.1,0.232,0.606,0.248
1630245,Ayo Dosunmu,1610612741,CHI,25.0,6-5,77,200,Illinois,USA,2021,2,38,46,566,161,208,-7.7,0.018,0.09,0.163,0.585,0.21
1628389,Bam Adebayo,1610612748,MIA,27.0,6-9,81,255,Kentucky,USA,2017,1,14,71,1247,688,304,-1.5,0.071,0.213,0.229,0.558,0.203
1631248,Baylor Scheierman,1610612738,BOS,24.0,6-6,78,205,Creighton,USA,2024,1,30,23,68,40,22,2.5,0.042,0.132,0.125,0.518,0.126
1641767,Ben Sheppard,1610612754,IND,23.0,6-6,78,190,Belmont,USA,2023,1,26,59,316,166,77,-3.1,0.034,0.106,0.108,0.556,0.084
1627732,Ben Simmons,1610612746,LAC,28.0,6-10,82,240,Louisiana State,Australia,2016,1,1,45,250,224,270,-1.6,0.043,0.184,0.137,0.545,0.371
1631097,Bennedict Mathurin,1610612754,IND,22.0,6-5,77,210,Arizona,Canada,2022,1,6,67,1082,360,124,1.4,0.04,0.135,0.22,0.585,0.088
1641731,Bilal Coulibaly,1610612764,WAS,20.0,6-8,80,195,None,France,2023,1,7,59,727,294,199,-13.8,0.043,0.098,0.175,0.515,0.15
202687,Bismack Biyombo,1610612759,SAS,32.0,6-8,80,255,None,DRC,2011,1,7,20,103,104,26,-7.8,0.084,0.197,0.117,0.641,0.095
1631104,Blake Wesley,1610612759,SAS,22.0,6-3,75,185,Notre Dame,USA,2022,1,25,48,161,39,90,5.1,0.021,0.058,0.168,0.535,0.253
1626171,Bobby Portis,1610612749,MIL,30.0,6-10,82,250,Arkansas,USA,2015,1,22,46,631,383,102,2.6,0.071,0.237,0.236,0.538,0.133
1641752,Bobi Klintman,1610612765,DET,22.0,6-9,81,225,None,Sweden,2024,2,37,6,0,4,1,14.5,0.0,0.286,0.077,0.0,0.071
203992,Bogdan Bogdanović,1610612746,LAC,32.0,6-5,77,225,None,Serbia,2014,1,27,45,485,136,122,1.1,0.016,0.098,0.184,0.545,0.152
1629626,Bol Bol,1610612756,PHX,25.0,7-3,87,220,Oregon,Sudan,2019,2,44,33,237,103,20,-3.1,0.047,0.172,0.205,0.626,0.067
1630538,Bones Hyland,1610612750,MIN,24.0,6-2,74,169,Virginia Commonwealth,USA,2021,1,26,23,149,24,32,-5.9,0.02,0.08,0.276,0.576,0.248
203078,Bradley Beal,1610612756,PHX,31.0,6-4,76,207,Florida,USA,2012,1,3,48,832,164,174,-7.8,0.023,0.084,0.221,0.606,0.176
1642382,Branden Carlson,1610612760,OKC,25.0,7-0,84,220,Utah,USA,Undrafted,Undrafted,Undrafted,24,78,36,9,8.8,0.056,0.161,0.168,0.649,0.076
1641764,Brandin Podziemski,1610612744,GSW,22.0,6-4,76,205,Santa Clara,USA,2023,1,19,55,581,270,183,5.4,0.034,0.148,0.172,0.53,0.19
1630527,Brandon Boston,1610612740,NOP,23.0,6-6,78,188,Kentucky,USA,2021,2,51,42,448,134,92,-6.2,0.026,0.107,0.199,0.535,0.14
1629634,Brandon Clarke,1610612763,MEM,28.0,6-8,80,215,Gonzaga,Canada,2019,1,21,64,534,326,66,8.2,0.102,0.148,0.15,0.638,0.072
1627742,Brandon Ingram,1610612761,TOR,27.0,6-8,80,190,Duke,USA,2016,1,2,18,400,100,93,-10.7,0.027,0.14,0.305,0.56,0.28
1641706,Brandon Miller,1610612766,CHA,22.0,6-7,79,200,Alabama,USA,2023,1,2,27,568,131,98,-6.8,0.024,0.117,0.27,0.54,0.182
1630314,Brandon Williams,1610612742,DAL,25.0,6-1,73,190,Arizona,USA,Undrafted,Undrafted,Undrafted,30,246,52,70,0.0,0.025,0.089,0.215,0.631,0.236
1641729,Brice Sensabaugh,1610612762,UTA,21.0,6-5,77,235,Ohio State,USA,2023,1,28,64,650,176,87,-9.2,0.027,0.108,0.209,0.612,0.111
